Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year
Methidathion,2830,0.07,1.17,1.2,1.46,52551.744000000006,57900,57900.0,2002
Permethrin,3350,0.15,0.18,1.3,0.24,121995.12,20600,20600.0,2002
Petroleum distillate,3360,0.58,19.07,1.3,25.86,471714.464,8728500,8728500.0,2002
Phosmet,3410,0.18,2.49,1.2,3.07,135133.05599999998,322900,322900.0,2002
Propargite,3620,0.22,1.88,1.3,2.49,178926.176,321500,321500.0,2002
Spinosad,4020,0.05,0.09,1.1,0.1,34408.88,3000,3000.0,2002
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2002
Abamectin,130,0.24,0.01,1.1,0.02,166447.512,2200,2200.001396,2003
Azinphos-methyl,310,0.07,1.9,1.1,2.21,48547.191,91500,91500.05805,2003
Chlorpyrifos,820,0.17,1.67,1.1,1.86,117900.321,180800,180800.1147,2003
Clofentezine,870,0.010198135,0.13,1.1,0.15,7072.725963,700,700.0004441000001,2003
Diazinon,1220,0.09,2.51,1.2,3.09,68092.164,165000,165000.1047,2003
Esfenvalerate,1620,0.14,0.05,1.5,0.08,132401.43,6200,6200.003933,2003
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,104029.695,62800,62800.03984,2003
Methidathion,2830,0.07,1.17,1.2,1.46,52960.572,57900,57900.03672999999,2003
Permethrin,3350,0.15,0.18,1.3,0.24,122944.185,20600,20600.013069999997,2003
Petroleum distillate,3360,0.58,19.07,1.3,25.86,475384.18200000003,8728500,8728505.537999999,2003
Phosmet,3410,0.18,2.49,1.2,3.07,136184.328,322900,322900.2049,2003
Propargite,3620,0.22,1.88,1.3,2.49,180318.138,321500,321500.20399999997,2003
Spinosad,4020,0.05,0.09,1.1,0.1,34676.565,3000,3000.0019030000003,2003
Other Insecticides,7003,0.0,,,,0.0,17700,17700.01123,2003
Abamectin,130,0.24,0.01,1.1,0.02,167732.664,2200,2199.999307,2004
Azinphos-methyl,310,0.07,1.9,1.1,2.21,48922.027,91500,91499.9712,2004
Chlorpyrifos,820,0.17,1.67,1.1,1.86,118810.63699999999,180800,180799.9431,2004
Clofentezine,870,0.010198135,0.13,1.1,0.15,7127.3349370000005,700,699.9997796,2004
Diazinon,1220,0.09,2.51,1.2,3.09,68617.908,165000,164999.9481,2004
Esfenvalerate,1620,0.14,0.05,1.5,0.08,133423.71,6200,6199.9980479999995,2004
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,104832.915,62800,62799.980229999994,2004
Methidathion,2830,0.07,1.17,1.2,1.46,53369.484000000004,57900,57899.981770000006,2004
Permethrin,3350,0.15,0.18,1.3,0.24,123893.445,20600,20599.99352,2004
Petroleum distillate,3360,0.58,19.07,1.3,25.86,479054.654,8728500,8728497.252,2004
Phosmet,3410,0.18,2.49,1.2,3.07,137235.816,322900,322899.8984,2004
Propargite,3620,0.22,1.88,1.3,2.49,181710.38600000003,321500,321499.8988,2004
Spinosad,4020,0.05,0.09,1.1,0.1,34944.305,3000,2999.9990559999997,2004
Other Insecticides,7003,0.0,,,,0.0,17700,17699.994430000002,2004
Abamectin,130,0.24,0.01,1.1,0.02,169017.552,2200,2200.000687,2005
Azinphos-methyl,310,0.07,1.9,1.1,2.21,49296.78599999999,91500,91500.02858,2005
Chlorpyrifos,820,0.17,1.67,1.1,1.86,119720.766,180800,180800.0565,2005
Clofentezine,870,0.010198135,0.13,1.1,0.15,7181.932694,700,700.0002187000001,2005
Diazinon,1220,0.09,2.51,1.2,3.09,69143.54400000001,165000,165000.0515,2005
Esfenvalerate,1620,0.14,0.05,1.5,0.08,134445.78,6200,6200.001937,2005
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,105635.97,62800,62800.01962000001,2005
Methidathion,2830,0.07,1.17,1.2,1.46,53778.312000000005,57900,57900.01809,2005
Permethrin,3350,0.15,0.18,1.3,0.24,124842.51,20600,20600.00644,2005
Petroleum distillate,3360,0.58,19.07,1.3,25.86,482724.37200000003,8728500,8728502.727,2005
Phosmet,3410,0.18,2.49,1.2,3.07,138287.08800000002,322900,322900.1009,2005
Propargite,3620,0.22,1.88,1.3,2.49,183102.348,321500,321500.1004,2005
Spinosad,4020,0.05,0.09,1.1,0.1,35211.99,3000,3000.0009370000002,2005
Other Insecticides,7003,0.0,,,,0.0,17700,17700.005530000002,2005
Abamectin,130,0.24,0.01,1.1,0.02,170302.704,2200,2199.998636,2006
Azinphos-methyl,310,0.07,1.9,1.1,2.21,49671.622,91500,91499.94326,2006
Chlorpyrifos,820,0.17,1.67,1.1,1.86,120631.082,180800,180799.8879,2006
Clofentezine,870,0.010198135,0.13,1.1,0.15,7236.541668000001,700,699.9995659,2006
Diazinon,1220,0.09,2.51,1.2,3.09,69669.288,165000,164999.8977,2006
Esfenvalerate,1620,0.14,0.05,1.5,0.08,135468.06,6200,6199.996156,2006
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,106439.19,62800,62799.96106,2006
Methidathion,2830,0.07,1.17,1.2,1.46,54187.224,57900,57899.9641,2006
Permethrin,3350,0.15,0.18,1.3,0.24,125791.77,20600,20599.987230000002,2006
Petroleum distillate,3360,0.58,19.07,1.3,25.86,486394.844,8728500,8728494.588,2006
Phosmet,3410,0.18,2.49,1.2,3.07,139338.576,322900,322899.7998,2006
Propargite,3620,0.22,1.88,1.3,2.49,184494.59600000002,321500,321499.8006,2006
Spinosad,4020,0.05,0.09,1.1,0.1,35479.73,3000,2999.9981399999997,2006
Other Insecticides,7003,0.0,,,,0.0,17700,17699.989019999997,2006
Abamectin,130,0.24,0.01,1.1,0.02,171587.592,2200,2200.0,2007
Azinphos-methyl,310,0.07,1.9,1.1,2.21,50046.380999999994,91500,91500.0,2007
Chlorpyrifos,820,0.17,1.67,1.1,1.86,121541.211,180800,180800.0,2007
Clofentezine,870,0.010198135,0.13,1.1,0.15,7291.139423999999,700,700.0,2007
Diazinon,1220,0.09,2.51,1.2,3.09,70194.924,165000,165000.0,2007
Esfenvalerate,1620,0.14,0.05,1.5,0.08,136490.13,6200,6200.0,2007
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,107242.245,62800,62800.0,2007
Methidathion,2830,0.07,1.17,1.2,1.46,54596.052,57900,57900.0,2007
Permethrin,3350,0.15,0.18,1.3,0.24,126740.835,20600,20600.0,2007
Petroleum distillate,3360,0.58,19.07,1.3,25.86,490064.56200000003,8728500,8728500.0,2007
Phosmet,3410,0.18,2.49,1.2,3.07,140389.848,322900,322900.0,2007
Propargite,3620,0.22,1.88,1.3,2.49,185886.55800000002,321500,321500.0,2007
Spinosad,4020,0.05,0.09,1.1,0.1,35747.415,3000,3000.0,2007
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2007
Abamectin,130,0.24,0.01,1.1,0.02,180833.664,2200,2200.001606,2008
Azinphos-methyl,310,0.07,1.9,1.1,2.21,52743.152,91500,91500.06679,2008
Chlorpyrifos,820,0.17,1.67,1.1,1.86,128090.51199999999,180800,180800.13199999998,2008
Clofentezine,870,0.010198135,0.13,1.1,0.15,7684.0256420000005,700,700.0005110000001,2008
Diazinon,1220,0.09,2.51,1.2,3.09,73977.408,165000,165000.1204,2008
Esfenvalerate,1620,0.14,0.05,1.5,0.08,143844.96,6200,6200.004526,2008
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,113021.04,62800,62800.04584,2008
Methidathion,2830,0.07,1.17,1.2,1.46,57537.984000000004,57900,57900.04226,2008
Permethrin,3350,0.15,0.18,1.3,0.24,133570.32,20600,20600.015040000002,2008
Petroleum distillate,3360,0.58,19.07,1.3,25.86,516471.904,8728500,8728506.371,2008
Phosmet,3410,0.18,2.49,1.2,3.07,147954.816,322900,322900.2357,2008
Propargite,3620,0.22,1.88,1.3,2.49,195903.13600000003,321500,321500.2347,2008
Spinosad,4020,0.05,0.09,1.1,0.1,37673.68,3000,3000.0021899999997,2008
Other Insecticides,7003,0.0,,,,0.0,17700,17700.012919999997,2008
Abamectin,130,0.24,0.01,1.1,0.02,190080.0,2200,2200.0,2009
Azinphos-methyl,310,0.07,1.9,1.1,2.21,55440.0,91500,91500.0,2009
Chlorpyrifos,820,0.17,1.67,1.1,1.86,134640.0,180800,180800.0,2009
Clofentezine,870,0.010198135,0.13,1.1,0.15,8076.923078,700,700.0,2009
Diazinon,1220,0.09,2.51,1.2,3.09,77760.0,165000,165000.0,2009
Esfenvalerate,1620,0.14,0.05,1.5,0.08,151200.0,6200,6200.0,2009
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,118800.0,62800,62800.0,2009
Methidathion,2830,0.07,1.17,1.2,1.46,60480.0,57900,57900.0,2009
Permethrin,3350,0.15,0.18,1.3,0.24,140400.0,20600,20600.0,2009
Petroleum distillate,3360,0.58,19.07,1.3,25.86,542880.0,8728500,8728500.0,2009
Phosmet,3410,0.18,2.49,1.2,3.07,155520.0,322900,322900.0,2009
Propargite,3620,0.22,1.88,1.3,2.49,205920.0,321500,321500.0,2009
Spinosad,4020,0.05,0.09,1.1,0.1,39600.0,3000,3000.0,2009
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2009
Abamectin,130,0.24,0.01,1.1,0.02,195360.0,2200,2200.0,2010
Azinphos-methyl,310,0.07,1.9,1.1,2.21,56980.0,91500,91500.0,2010
Chlorpyrifos,820,0.17,1.67,1.1,1.86,138380.0,180800,180800.0,2010
Clofentezine,870,0.010198135,0.13,1.1,0.15,8301.282053,700,700.0,2010
Diazinon,1220,0.09,2.51,1.2,3.09,79920.0,165000,165000.0,2010
Esfenvalerate,1620,0.14,0.05,1.5,0.08,155400.0,6200,6200.0,2010
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,122100.0,62800,62800.0,2010
Methidathion,2830,0.07,1.17,1.2,1.46,62160.0,57900,57900.0,2010
Permethrin,3350,0.15,0.18,1.3,0.24,144300.0,20600,20600.0,2010
Petroleum distillate,3360,0.58,19.07,1.3,25.86,557960.0,8728500,8728500.0,2010
Phosmet,3410,0.18,2.49,1.2,3.07,159840.0,322900,322900.0,2010
Propargite,3620,0.22,1.88,1.3,2.49,211640.0,321500,321500.0,2010
Spinosad,4020,0.05,0.09,1.1,0.1,40700.0,3000,3000.0,2010
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2010
Abamectin,130,0.24,0.01,1.1,0.02,200640.0,2200,2200.0,2011
Azinphos-methyl,310,0.07,1.9,1.1,2.21,58520.0,91500,91500.0,2011
Chlorpyrifos,820,0.17,1.67,1.1,1.86,142120.0,180800,180800.0,2011
Clofentezine,870,0.010198135,0.13,1.1,0.15,8525.641027,700,700.0,2011
Diazinon,1220,0.09,2.51,1.2,3.09,82080.0,165000,165000.0,2011
Esfenvalerate,1620,0.14,0.05,1.5,0.08,159600.0,6200,6200.0,2011
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,125400.0,62800,62800.0,2011
Methidathion,2830,0.07,1.17,1.2,1.46,63840.0,57900,57900.0,2011
Permethrin,3350,0.15,0.18,1.3,0.24,148200.0,20600,20600.0,2011
Petroleum distillate,3360,0.58,19.07,1.3,25.86,573040.0,8728500,8728500.0,2011
Phosmet,3410,0.18,2.49,1.2,3.07,164160.0,322900,322900.0,2011
Propargite,3620,0.22,1.88,1.3,2.49,217360.0,321500,321500.0,2011
Spinosad,4020,0.05,0.09,1.1,0.1,41800.0,3000,3000.0,2011
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2011
Abamectin,130,0.24,0.01,1.1,0.02,205920.0,2200,2200.0,2012
Azinphos-methyl,310,0.07,1.9,1.1,2.21,60060.0,91500,91500.0,2012
Chlorpyrifos,820,0.17,1.67,1.1,1.86,145860.0,180800,180800.0,2012
Clofentezine,870,0.010198135,0.13,1.1,0.15,8750.000001999999,700,700.0,2012
Diazinon,1220,0.09,2.51,1.2,3.09,84240.0,165000,165000.0,2012
Esfenvalerate,1620,0.14,0.05,1.5,0.08,163800.0,6200,6200.0,2012
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,128700.0,62800,62800.0,2012
Methidathion,2830,0.07,1.17,1.2,1.46,65520.0,57900,57900.0,2012
Permethrin,3350,0.15,0.18,1.3,0.24,152100.0,20600,20600.0,2012
Petroleum distillate,3360,0.58,19.07,1.3,25.86,588120.0,8728500,8728500.0,2012
Phosmet,3410,0.18,2.49,1.2,3.07,168480.0,322900,322900.0,2012
Propargite,3620,0.22,1.88,1.3,2.49,223080.0,321500,321500.0,2012
Spinosad,4020,0.05,0.09,1.1,0.1,42900.0,3000,3000.0,2012
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2012
Abamectin,130,0.24,0.01,1.1,0.02,224400.0,2200,2200.0,2013
Azinphos-methyl,310,0.07,1.9,1.1,2.21,65450.0,91500,91500.0,2013
Chlorpyrifos,820,0.17,1.67,1.1,1.86,158950.0,180800,180800.0,2013
Clofentezine,870,0.010198135,0.13,1.1,0.15,9535.256412,700,700.0,2013
Diazinon,1220,0.09,2.51,1.2,3.09,91800.0,165000,165000.0,2013
Esfenvalerate,1620,0.14,0.05,1.5,0.08,178500.0,6200,6200.0,2013
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,140250.0,62800,62800.0,2013
Methidathion,2830,0.07,1.17,1.2,1.46,71400.0,57900,57900.0,2013
Permethrin,3350,0.15,0.18,1.3,0.24,165750.0,20600,20600.0,2013
Petroleum distillate,3360,0.58,19.07,1.3,25.86,640900.0,8728500,8728500.0,2013
Phosmet,3410,0.18,2.49,1.2,3.07,183600.0,322900,322900.0,2013
Propargite,3620,0.22,1.88,1.3,2.49,243100.0,321500,321500.0,2013
Spinosad,4020,0.05,0.09,1.1,0.1,46750.0,3000,3000.0,2013
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2013
Abamectin,130,0.24,0.01,1.1,0.02,229680.0,2200,2200.0,2014
Azinphos-methyl,310,0.07,1.9,1.1,2.21,66990.0,91500,91500.0,2014
Chlorpyrifos,820,0.17,1.67,1.1,1.86,162690.0,180800,180800.0,2014
Clofentezine,870,0.010198135,0.13,1.1,0.15,9759.615386,700,700.0,2014
Diazinon,1220,0.09,2.51,1.2,3.09,93960.0,165000,165000.0,2014
Esfenvalerate,1620,0.14,0.05,1.5,0.08,182700.0,6200,6200.0,2014
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,143550.0,62800,62800.0,2014
Methidathion,2830,0.07,1.17,1.2,1.46,73080.0,57900,57900.0,2014
Permethrin,3350,0.15,0.18,1.3,0.24,169650.0,20600,20600.0,2014
Petroleum distillate,3360,0.58,19.07,1.3,25.86,655980.0,8728500,8728500.0,2014
Phosmet,3410,0.18,2.49,1.2,3.07,187920.0,322900,322900.0,2014
Propargite,3620,0.22,1.88,1.3,2.49,248820.0,321500,321500.0,2014
Spinosad,4020,0.05,0.09,1.1,0.1,47850.0,3000,3000.0,2014
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2014
Abamectin,130,0.24,0.01,1.1,0.02,242880.0,2200,2200.0,2015
Azinphos-methyl,310,0.07,1.9,1.1,2.21,70840.0,91500,91500.0,2015
Chlorpyrifos,820,0.17,1.67,1.1,1.86,172040.0,180800,180800.0,2015
Clofentezine,870,0.010198135,0.13,1.1,0.15,10320.51282,700,700.0,2015
Diazinon,1220,0.09,2.51,1.2,3.09,99360.0,165000,165000.0,2015
Esfenvalerate,1620,0.14,0.05,1.5,0.08,193200.0,6200,6200.0,2015
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,151800.0,62800,62800.0,2015
Methidathion,2830,0.07,1.17,1.2,1.46,77280.0,57900,57900.0,2015
Permethrin,3350,0.15,0.18,1.3,0.24,179400.0,20600,20600.0,2015
Petroleum distillate,3360,0.58,19.07,1.3,25.86,693680.0,8728500,8728500.0,2015
Phosmet,3410,0.18,2.49,1.2,3.07,198720.0,322900,322900.0,2015
Propargite,3620,0.22,1.88,1.3,2.49,263120.0,321500,321500.0,2015
Spinosad,4020,0.05,0.09,1.1,0.1,50600.0,3000,3000.0,2015
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2015
Abamectin,130,0.24,0.01,1.1,0.02,248160.0,2200,2200.0,2016
Azinphos-methyl,310,0.07,1.9,1.1,2.21,72380.0,91500,91500.0,2016
Chlorpyrifos,820,0.17,1.67,1.1,1.86,175780.0,180800,180800.0,2016
Clofentezine,870,0.010198135,0.13,1.1,0.15,10544.8718,700,700.0,2016
Diazinon,1220,0.09,2.51,1.2,3.09,101520.0,165000,165000.0,2016
Esfenvalerate,1620,0.14,0.05,1.5,0.08,197400.0,6200,6200.0,2016
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,155100.0,62800,62800.0,2016
Methidathion,2830,0.07,1.17,1.2,1.46,78960.0,57900,57900.0,2016
Permethrin,3350,0.15,0.18,1.3,0.24,183300.0,20600,20600.0,2016
Petroleum distillate,3360,0.58,19.07,1.3,25.86,708760.0,8728500,8728500.0,2016
Phosmet,3410,0.18,2.49,1.2,3.07,203040.0,322900,322900.0,2016
Propargite,3620,0.22,1.88,1.3,2.49,268840.0,321500,321500.0,2016
Spinosad,4020,0.05,0.09,1.1,0.1,51700.0,3000,3000.0,2016
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2016
Abamectin,130,0.24,0.01,1.1,0.02,271920.0,2200,2200.0,2017
Azinphos-methyl,310,0.07,1.9,1.1,2.21,79310.0,91500,91500.0,2017
Chlorpyrifos,820,0.17,1.67,1.1,1.86,192610.0,180800,180800.0,2017
Clofentezine,870,0.010198135,0.13,1.1,0.15,11554.48718,700,700.0,2017
Diazinon,1220,0.09,2.51,1.2,3.09,111240.0,165000,165000.0,2017
Esfenvalerate,1620,0.14,0.05,1.5,0.08,216300.0,6200,6200.0,2017
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,169950.0,62800,62800.0,2017
Methidathion,2830,0.07,1.17,1.2,1.46,86520.0,57900,57900.0,2017
Permethrin,3350,0.15,0.18,1.3,0.24,200850.0,20600,20600.0,2017
Petroleum distillate,3360,0.58,19.07,1.3,25.86,776620.0,8728500,8728500.0,2017
Phosmet,3410,0.18,2.49,1.2,3.07,222480.0,322900,322900.0,2017
Propargite,3620,0.22,1.88,1.3,2.49,294580.0,321500,321500.0,2017
Spinosad,4020,0.05,0.09,1.1,0.1,56650.0,3000,3000.0,2017
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2017
Abamectin,130,0.24,0.01,1.1,0.02,287760.0,2200,2200.0,2018
Azinphos-methyl,310,0.07,1.9,1.1,2.21,83930.0,91500,91500.0,2018
Chlorpyrifos,820,0.17,1.67,1.1,1.86,203830.0,180800,180800.0,2018
Clofentezine,870,0.010198135,0.13,1.1,0.15,12227.5641,700,700.0,2018
Diazinon,1220,0.09,2.51,1.2,3.09,117720.0,165000,165000.0,2018
Esfenvalerate,1620,0.14,0.05,1.5,0.08,228900.0,6200,6200.0,2018
Fenbutatin-oxide,1760,0.15,0.67,1.1,0.74,179850.0,62800,62800.0,2018
Methidathion,2830,0.07,1.17,1.2,1.46,91560.0,57900,57900.0,2018
Permethrin,3350,0.15,0.18,1.3,0.24,212550.0,20600,20600.0,2018
Petroleum distillate,3360,0.58,19.07,1.3,25.86,821860.0,8728500,8728500.0,2018
Phosmet,3410,0.18,2.49,1.2,3.07,235440.0,322900,322900.0,2018
Propargite,3620,0.22,1.88,1.3,2.49,311740.0,321500,321500.0,2018
Spinosad,4020,0.05,0.09,1.1,0.1,59950.0,3000,3000.0,2018
Other Insecticides,7003,0.0,,,,0.0,17700,17700.0,2018
