Analyte,Sort Order,Percent Acres Treated,One Time Application Rate,Number of Applications,Rate per Crop Year,Surveyed Acre Treatments,Surveyed Acres,Total Acres,year,2007,2009,year 
Paraquat,3290,0.29,0.49,1.1,0.57,201124.077,97000,97000.06154,2003.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,41611.878,56300,56300.03572000001,2003.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,69353.13,47200,47200.02995,2003.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.016180000002,2003.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,53369.484000000004,37500,37499.9882,2004.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1006395.984,640000,639999.7985,2004.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,20966.583,24100,24099.99241,2004.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,181710.38600000003,258000,257999.9188,2004.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,444745.7,203400,203399.93600000002,2004.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,202676.96899999998,97000,96999.96947000001,2004.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,41933.166,56300,56299.98228,2004.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,69888.61,47200,47199.98514,2004.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25499.99197,2004.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,53778.312000000005,37500,37500.01171,2005.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1014105.312,640000,640000.1999,2005.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,21127.194,24100,24100.007530000003,2005.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,183102.348,258000,258000.0806,2005.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,448152.6,203400,203400.0635,2005.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,204229.542,97000,97000.0303,2005.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,42254.388,56300,56300.017589999996,2005.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,70423.98,47200,47200.01474,2005.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.00797,2005.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,54187.224,37500,37499.97675,2005.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1021816.224,640000,639999.6032,2005.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,21287.838,24100,24099.98506,2005.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,184494.59600000002,258000,257999.84,2005.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,451560.2,203400,203399.8739,2005.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,205782.43399999998,97000,96999.93985,2005.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,42575.676,56300,56299.96509,2005.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,70959.46,47200,47199.97073,2005.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25499.98419,2005.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,54596.052,37500,37500.0,,2007.0,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1029525.552,640000,640000.0,,2007.0,,
Norflurazon,3150,0.03,1.09,1.1,1.2,21448.449,24100,24100.0,,2007.0,,
Oryzalin,3210,0.26,1.51,1.1,1.74,185886.55800000002,258000,258000.0,,2007.0,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,454967.1,203400,203400.0,,2007.0,,
Paraquat,3290,0.29,0.49,1.1,0.57,207335.00699999998,97000,97000.0,,2007.0,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,42896.898,56300,56300.0,,2007.0,,
Simazine,3930,0.1,0.75,1.1,0.85,71494.83,47200,47200.0,,2007.0,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,,2007.0,,
"2,4-D",20,0.07,0.69,1.2,0.9,57537.984000000004,37500,37500.027369999996,2008.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1085001.9840000002,640000,640000.4672,2008.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,22604.208,24100,24100.01759,2008.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,195903.13600000003,258000,258000.1883,2008.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,479483.2,203400,203400.1485,2008.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,218507.34399999998,97000,97000.07081,2008.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,45208.416,56300,56300.0411,2008.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,75347.36,47200,47200.03445,2008.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.01861,2008.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,60480.0,37500,37500.0,,,2009.0,
Glyphosate,2170,0.66,0.69,2.4,1.68,1140480.0,640000,640000.0,,,2009.0,
Norflurazon,3150,0.03,1.09,1.1,1.2,23760.0,24100,24100.0,,,2009.0,
Oryzalin,3210,0.26,1.51,1.1,1.74,205920.0,258000,258000.0,,,2009.0,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,504000.0,203400,203400.0,,,2009.0,
Paraquat,3290,0.29,0.49,1.1,0.57,229680.0,97000,97000.0,,,2009.0,
Pendimethalin,3320,0.06,1.52,1.1,1.72,47520.0,56300,56300.0,,,2009.0,
Simazine,3930,0.1,0.75,1.1,0.85,79200.0,47200,47200.0,,,2009.0,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,,,2009.0,
"2,4-D",20,0.07,0.69,1.2,0.9,62160.0,37500,37500.0,2010.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1172160.0,640000,640000.0,2010.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,24420.0,24100,24100.0,2010.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,211640.0,258000,258000.0,2010.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,518000.0,203400,203400.0,2010.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,236060.0,97000,97000.0,2010.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,48840.0,56300,56300.0,2010.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,81400.0,47200,47200.0,2010.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,2010.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,63840.0,37500,37500.0,,,,2011.0
Glyphosate,2170,0.66,0.69,2.4,1.68,1203840.0,640000,640000.0,,,,2011.0
Norflurazon,3150,0.03,1.09,1.1,1.2,25080.0,24100,24100.0,,,,2011.0
Oryzalin,3210,0.26,1.51,1.1,1.74,217360.0,258000,258000.0,,,,2011.0
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,532000.0,203400,203400.0,,,,2011.0
Paraquat,3290,0.29,0.49,1.1,0.57,242440.0,97000,97000.0,,,,2011.0
Pendimethalin,3320,0.06,1.52,1.1,1.72,50160.0,56300,56300.0,,,,2011.0
Simazine,3930,0.1,0.75,1.1,0.85,83600.0,47200,47200.0,,,,2011.0
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,,,,2011.0
"2,4-D",20,0.07,0.69,1.2,0.9,65520.0,37500,37500.0,2012.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1235520.0,640000,640000.0,2012.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,25740.0,24100,24100.0,2012.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,223080.0,258000,258000.0,2012.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,546000.0,203400,203400.0,2012.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,248820.0,97000,97000.0,2012.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,51480.0,56300,56300.0,2012.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,85800.0,47200,47200.0,2012.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,2012.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,71400.0,37500,37500.0,2013.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1346400.0,640000,640000.0,2013.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,28050.0,24100,24100.0,2013.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,243100.0,258000,258000.0,2013.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,595000.0,203400,203400.0,2013.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,271150.0,97000,97000.0,2013.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,56100.0,56300,56300.0,2013.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,93500.0,47200,47200.0,2013.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,2013.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,73080.0,37500,37500.0,2014.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1378080.0,640000,640000.0,2014.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,28710.0,24100,24100.0,2014.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,248820.0,258000,258000.0,2014.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,609000.0,203400,203400.0,2014.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,277530.0,97000,97000.0,2014.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,57420.0,56300,56300.0,2014.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,95700.0,47200,47200.0,2014.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,2014.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,77280.0,37500,37500.0,2015.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1457280.0,640000,640000.0,2015.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,30360.0,24100,24100.0,2015.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,263120.0,258000,258000.0,2015.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,644000.0,203400,203400.0,2015.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,293480.0,97000,97000.0,2015.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,60720.0,56300,56300.0,2015.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,101200.0,47200,47200.0,2015.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,2015.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,78960.0,37500,37500.0,2016.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1488960.0,640000,640000.0,2016.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,31020.0,24100,24100.0,2016.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,268840.0,258000,258000.0,2016.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,658000.0,203400,203400.0,2016.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,299860.0,97000,97000.0,2016.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,62040.0,56300,56300.0,2016.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,103400.0,47200,47200.0,2016.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,2016.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,86520.0,37500,37500.0,2017.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1631520.0,640000,640000.0,2017.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,33990.0,24100,24100.0,2017.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,294580.0,258000,258000.0,2017.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,721000.0,203400,203400.0,2017.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,328570.0,97000,97000.0,2017.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,67980.0,56300,56300.0,2017.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,113300.0,47200,47200.0,2017.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,2017.0,,,
"2,4-D",20,0.07,0.69,1.2,0.9,91560.0,37500,37500.0,2018.0,,,
Glyphosate,2170,0.66,0.69,2.4,1.68,1726560.0,640000,640000.0,2018.0,,,
Norflurazon,3150,0.03,1.09,1.1,1.2,35970.0,24100,24100.0,2018.0,,,
Oryzalin,3210,0.26,1.51,1.1,1.74,311740.0,258000,258000.0,2018.0,,,
Oxyfluorfen,3240,0.5,0.48,1.4,0.7,763000.0,203400,203400.0,2018.0,,,
Paraquat,3290,0.29,0.49,1.1,0.57,347710.0,97000,97000.0,2018.0,,,
Pendimethalin,3320,0.06,1.52,1.1,1.72,71940.0,56300,56300.0,2018.0,,,
Simazine,3930,0.1,0.75,1.1,0.85,119900.0,47200,47200.0,2018.0,,,
Other Herbicides,7002,0.0,,,,0.0,25500,25500.0,2018.0,,,
